condition_id,condition_label,model,sigma_type,multiplier_type,request_sla,extreme_sla,total_cost,cold_cost,idle_cost,total_cold_starts,cold_start_rate
C0_no_buffer,No Buffer,Reactive,none,none,0.9847903665566673,0.949060131055692,407765210.0,370720850.0,37044360.0,37072085,0.452724358974359
C0_no_buffer,No Buffer,TCN,none,none,0.9858960069741819,0.9435790017115807,371364913.0,343771880.0,27593033.0,34377188,0.4970619658119658
C1_static_gaussian,Static+Gaussian,Reactive,static,gaussian,0.9991874192371116,0.9934073156299726,323940760.0,19805910.0,304134850.0,1980591,0.02403846153846154
C1_static_gaussian,Static+Gaussian,TCN,static,gaussian,0.9992155199879443,0.9864899857072812,239130863.0,19120980.0,220009883.0,1912098,0.024305555555555556
C2_dynamic_gaussian,Dynamic+Gaussian,Reactive,dynamic,gaussian,0.9987014661625518,0.9892956323991674,314772764.0,31650570.0,283122194.0,3165057,0.02564102564102564
C2_dynamic_gaussian,Dynamic+Gaussian,TCN,dynamic,gaussian,0.9988438042422227,0.9833446414537392,235816829.0,28181210.0,207635619.0,2818121,0.029113247863247864
C3_static_evt,Static+EVT,Reactive,static,evt,0.9999654218769666,0.9998565519651019,472617158.0,842810.0,471774348.0,84281,0.0018696581196581197
C3_static_evt,Static+EVT,TCN,static,evt,0.999900283833543,0.9976753964018245,358280510.0,2430490.0,355850020.0,243049,0.004006410256410256
C4_dynamic_evt,Dynamic+EVT,Reactive,dynamic,evt,0.9996449741137367,0.9969345986386581,446556913.0,8653430.0,437903483.0,865343,0.011217948717948718
C4_dynamic_evt,Dynamic+EVT,TCN,dynamic,evt,0.9996956188932659,0.994395969807868,342367156.0,7419010.0,334948146.0,741901,0.011485042735042736
